map,ladders_collected,ladders_total,keys_collected,keys_total,bombs_collected,bombs_total,enemies_visited,enemies_total,rooms_count,path_csv,overlay_png
tloz1_1,0,0,3,3,0,0,55,55,5,..\Paths\shortest_path_tloz1_1.csv,..\Paths\overlay_shortest_path_tloz1_1.png
tloz1_2,0,0,1,2,1,1,37,49,4,..\Paths\shortest_path_tloz1_2.csv,..\Paths\overlay_shortest_path_tloz1_2.png
tloz2_1,0,0,3,3,2,2,65,65,5,..\Paths\shortest_path_tloz2_1.csv,..\Paths\overlay_shortest_path_tloz2_1.png
tloz2_2,0,0,5,7,1,2,45,73,10,..\Paths\shortest_path_tloz2_2.csv,..\Paths\overlay_shortest_path_tloz2_2.png
tloz3_1,0,0,4,4,3,3,66,68,6,..\Paths\shortest_path_tloz3_1.csv,..\Paths\overlay_shortest_path_tloz3_1.png
tloz3_2,0,0,1,2,1,1,37,43,4,..\Paths\shortest_path_tloz3_2.csv,..\Paths\overlay_shortest_path_tloz3_2.png
tloz4_1,1,1,4,4,0,0,71,71,3,..\Paths\shortest_path_tloz4_1.csv,..\Paths\overlay_shortest_path_tloz4_1.png
tloz4_2,0,0,4,4,2,2,83,97,4,..\Paths\shortest_path_tloz4_2.csv,..\Paths\overlay_shortest_path_tloz4_2.png
tloz5_1,0,0,5,6,1,1,55,68,6,..\Paths\shortest_path_tloz5_1.csv,..\Paths\overlay_shortest_path_tloz5_1.png
tloz5_2,0,0,1,3,0,0,60,68,6,..\Paths\shortest_path_tloz5_2.csv,..\Paths\overlay_shortest_path_tloz5_2.png
tloz6_1,0,0,4,5,0,1,109,109,5,..\Paths\shortest_path_tloz6_1.csv,..\Paths\overlay_shortest_path_tloz6_1.png
tloz6_2,1,1,1,2,2,2,79,85,8,..\Paths\shortest_path_tloz6_2.csv,..\Paths\overlay_shortest_path_tloz6_2.png
tloz7_1,0,0,3,3,7,7,110,111,5,..\Paths\shortest_path_tloz7_1.csv,..\Paths\overlay_shortest_path_tloz7_1.png
tloz7_2,0,0,1,2,0,2,86,112,6,..\Paths\shortest_path_tloz7_2.csv,..\Paths\overlay_shortest_path_tloz7_2.png
tloz8_1,0,0,4,6,3,3,76,90,8,..\Paths\shortest_path_tloz8_1.csv,..\Paths\overlay_shortest_path_tloz8_1.png
tloz8_2,0,0,1,3,0,2,60,139,12,..\Paths\shortest_path_tloz8_2.csv,..\Paths\overlay_shortest_path_tloz8_2.png
tloz9_1,0,0,1,4,0,5,212,233,12,..\Paths\shortest_path_tloz9_1.csv,..\Paths\overlay_shortest_path_tloz9_1.png
tloz9_2,0,0,1,1,2,2,198,206,7,..\Paths\shortest_path_tloz9_2.csv,..\Paths\overlay_shortest_path_tloz9_2.png
