row,col,y_px,x_px
87,8,1400.0,136.0
86,8,1384.0,136.0
85,8,1368.0,136.0
84,8,1352.0,136.0
83,8,1336.0,136.0
82,8,1320.0,136.0
81,8,1304.0,136.0
80,8,1288.0,136.0
79,8,1272.0,136.0
78,8,1256.0,136.0
77,8,1240.0,136.0
76,8,1224.0,136.0
75,8,1208.0,136.0
74,8,1192.0,136.0
74,9,1192.0,152.0
74,10,1192.0,168.0
74,9,1192.0,152.0
73,9,1176.0,152.0
72,9,1160.0,152.0
71,9,1144.0,152.0
70,9,1128.0,152.0
69,9,1112.0,152.0
68,9,1096.0,152.0
68,8,1096.0,136.0
67,8,1080.0,136.0
66,8,1064.0,136.0
65,8,1048.0,136.0
64,8,1032.0,136.0
63,8,1016.0,136.0
62,8,1000.0,136.0
61,8,984.0,136.0
60,8,968.0,136.0
59,8,952.0,136.0
58,8,936.0,136.0
57,8,920.0,136.0
56,8,904.0,136.0
55,8,888.0,136.0
54,8,872.0,136.0
53,8,856.0,136.0
52,8,840.0,136.0
51,8,824.0,136.0
50,8,808.0,136.0
49,8,792.0,136.0
50,8,808.0,136.0
50,9,808.0,152.0
50,10,808.0,168.0
49,10,792.0,168.0
49,11,792.0,184.0
49,12,792.0,200.0
49,13,792.0,216.0
49,14,792.0,232.0
49,15,792.0,248.0
49,16,792.0,264.0
49,17,792.0,280.0
49,18,792.0,296.0
50,18,808.0,296.0
51,18,824.0,296.0
52,18,840.0,296.0
52,19,840.0,312.0
52,20,840.0,328.0
52,21,840.0,344.0
52,22,840.0,360.0
52,23,840.0,376.0
52,24,840.0,392.0
52,25,840.0,408.0
52,26,840.0,424.0
52,27,840.0,440.0
51,27,824.0,440.0
50,27,808.0,440.0
50,28,808.0,456.0
50,29,808.0,472.0
49,29,792.0,472.0
49,30,792.0,488.0
49,31,792.0,504.0
49,32,792.0,520.0
49,33,792.0,536.0
49,34,792.0,552.0
50,34,808.0,552.0
50,35,808.0,568.0
50,36,808.0,584.0
50,37,808.0,600.0
50,38,808.0,616.0
50,39,808.0,632.0
49,39,792.0,632.0
49,40,792.0,648.0
50,40,808.0,648.0
51,40,824.0,648.0
52,40,840.0,648.0
53,40,856.0,648.0
54,40,872.0,648.0
55,40,888.0,648.0
56,40,904.0,648.0
57,40,920.0,648.0
58,40,936.0,648.0
59,40,952.0,648.0
60,40,968.0,648.0
61,40,984.0,648.0
62,40,1000.0,648.0
63,40,1016.0,648.0
64,40,1032.0,648.0
65,40,1048.0,648.0
66,40,1064.0,648.0
67,40,1080.0,648.0
68,40,1096.0,648.0
69,40,1112.0,648.0
70,40,1128.0,648.0
71,40,1144.0,648.0
72,40,1160.0,648.0
72,39,1160.0,632.0
73,39,1176.0,632.0
74,39,1192.0,632.0
74,40,1192.0,648.0
74,41,1192.0,664.0
74,42,1192.0,680.0
73,42,1176.0,680.0
73,41,1176.0,664.0
74,41,1192.0,664.0
74,40,1192.0,648.0
75,40,1208.0,648.0
76,40,1224.0,648.0
77,40,1240.0,648.0
78,40,1256.0,648.0
79,40,1272.0,648.0
80,40,1288.0,648.0
80,39,1288.0,632.0
80,40,1288.0,648.0
80,41,1288.0,664.0
81,41,1304.0,664.0
81,40,1304.0,648.0
81,39,1304.0,632.0
81,38,1304.0,616.0
82,38,1320.0,616.0
83,38,1336.0,616.0
83,37,1336.0,600.0
