other_index,filename,source,x,y,w,h,tile_r0,tile_c0,tile_r1,tile_c1,area_px,direction,category,weights
0,other_0000.png,tloz1_1e.png,288,30,16,16,1,18,2,18,256,,trap,0.1
0,other_0000.png,tloz1_1e.png,464,30,16,16,1,29,2,29,256,,trap,0.1
0,other_0000.png,tloz1_1e.png,288,126,16,16,7,18,8,18,256,,trap,0.1
0,other_0000.png,tloz1_1e.png,464,126,16,16,7,29,8,29,256,,trap,0.1
1,other_0001.png,tloz1_1e.png,664,31,14,15,1,41,2,42,210,,enemy,0.3
1,other_0001.png,tloz1_1e.png,915,383,14,15,23,57,24,58,210,,enemy,0.3
1,other_0001.png,tloz1_1e.png,916,447,14,15,27,57,28,58,210,,enemy,0.3
2,other_0002.png,tloz1_1e.png,644,49,8,16,3,40,4,40,128,,,
3,other_0003.png,tloz1_1e.png,648,63,14,15,3,40,4,41,210,,enemy,0.3
4,other_0004.png,tloz1_1e.png,357,85,6,6,5,22,5,22,36,,,
4,other_0004.png,tloz1_1e.png,373,437,6,6,27,23,27,23,36,,,
5,other_0005.png,tloz1_1e.png,681,95,14,15,5,42,6,43,210,,enemy,0.4
6,other_0006.png,tloz1_1e.png,256,192,256,160,12,16,21,31,40960,,item,0.5
7,other_0007.png,tloz1_1e.png,304,197,16,1,12,19,12,19,16,,,
7,other_0007.png,tloz1_1e.png,304,213,16,1,13,19,13,19,16,,,
7,other_0007.png,tloz1_1e.png,304,229,16,1,14,19,14,19,16,,,
7,other_0007.png,tloz1_1e.png,304,245,16,1,15,19,15,19,16,,,
7,other_0007.png,tloz1_1e.png,304,277,16,1,17,19,17,19,16,,,
7,other_0007.png,tloz1_1e.png,432,277,16,1,17,27,17,27,16,,,
7,other_0007.png,tloz1_1e.png,304,293,16,1,18,19,18,19,16,,,
7,other_0007.png,tloz1_1e.png,432,293,16,1,18,27,18,27,16,,,
7,other_0007.png,tloz1_1e.png,304,309,16,1,19,19,19,19,16,,,
7,other_0007.png,tloz1_1e.png,432,309,16,1,19,27,19,27,16,,,
8,other_0008.png,tloz1_1e.png,1133,220,8,10,13,70,14,71,80,,,
8,other_0008.png,tloz1_1e.png,1133,244,8,10,15,70,15,71,80,,,
8,other_0008.png,tloz1_1e.png,1133,268,8,10,16,70,17,71,80,,,
9,other_0009.png,tloz1_1e.png,569,222,15,16,13,35,14,36,240,,enemy,0.3
9,other_0009.png,tloz1_1e.png,592,261,15,16,16,37,17,37,240,,enemy,0.3
9,other_0009.png,tloz1_1e.png,950,926,15,16,57,59,58,60,240,,enemy,0.3
9,other_0009.png,tloz1_1e.png,896,931,15,16,58,56,59,56,240,,enemy,0.3
9,other_0009.png,tloz1_1e.png,906,974,15,16,60,56,61,57,240,,enemy,0.3
9,other_0009.png,tloz1_1e.png,969,990,15,16,61,60,62,61,240,,enemy,0.3
10,other_0010.png,tloz1_1e.png,704,231,15,16,14,44,15,44,240,,enemy,0.3
10,other_0010.png,tloz1_1e.png,848,994,15,16,62,53,63,53,240,,enemy,0.3
11,other_0011.png,tloz1_1e.png,1179,241,24,32,15,73,17,75,768,,boss,0.9
12,other_0012.png,tloz1_1e.png,1217,259,13,13,16,76,16,76,169,,,
13,other_0013.png,tloz1_1e.png,1403,263,10,10,16,87,17,88,100,,,
14,other_0014.png,tloz1_1e.png,304,285,16,5,17,19,18,19,80,,,
14,other_0014.png,tloz1_1e.png,432,285,16,5,17,27,18,27,80,,,
14,other_0014.png,tloz1_1e.png,304,301,16,5,18,19,19,19,80,,,
14,other_0014.png,tloz1_1e.png,432,301,16,5,18,27,19,27,80,,,
15,other_0015.png,tloz1_1e.png,304,295,16,3,18,19,18,19,48,,,
15,other_0015.png,tloz1_1e.png,432,295,16,3,18,27,18,27,48,,,
15,other_0015.png,tloz1_1e.png,304,311,16,3,19,19,19,19,48,,,
15,other_0015.png,tloz1_1e.png,432,311,16,3,19,27,19,27,48,,,
16,other_0016.png,tloz1_1e.png,1092,380,14,15,23,68,24,69,210,,enemy,0.3
16,other_0016.png,tloz1_1e.png,1112,382,14,15,23,69,24,70,210,,enemy,0.3
