map,ladders_collected,ladders_total,keys_collected,keys_total,bombs_collected,bombs_total,enemies_visited,enemies_total,rooms_count,path_csv,overlay_png
tloz1_1,0,0,3,3,0,0,0,0,5,reconstructed\shortest_path_tloz1_1.csv,reconstructed\overlay_shortest_path_tloz1_1.png
tloz1_2,0,0,1,2,1,1,0,0,4,reconstructed\shortest_path_tloz1_2.csv,reconstructed\overlay_shortest_path_tloz1_2.png
tloz2_1,0,0,3,3,2,2,0,0,5,reconstructed\shortest_path_tloz2_1.csv,reconstructed\overlay_shortest_path_tloz2_1.png
tloz2_2,0,0,5,7,1,2,0,0,10,reconstructed\shortest_path_tloz2_2.csv,reconstructed\overlay_shortest_path_tloz2_2.png
tloz3_1,0,0,4,4,3,3,0,0,6,reconstructed\shortest_path_tloz3_1.csv,reconstructed\overlay_shortest_path_tloz3_1.png
tloz3_2,0,0,1,2,1,1,0,0,4,reconstructed\shortest_path_tloz3_2.csv,reconstructed\overlay_shortest_path_tloz3_2.png
tloz4_1,0,0,4,4,0,0,0,0,3,reconstructed\shortest_path_tloz4_1.csv,reconstructed\overlay_shortest_path_tloz4_1.png
tloz4_2,0,0,0,0,0,0,0,0,0,,
tloz5_1,0,0,5,6,1,1,0,0,6,reconstructed\shortest_path_tloz5_1.csv,reconstructed\overlay_shortest_path_tloz5_1.png
tloz5_2,0,0,1,3,0,0,0,0,6,reconstructed\shortest_path_tloz5_2.csv,reconstructed\overlay_shortest_path_tloz5_2.png
tloz6_1,0,0,4,5,0,1,0,0,5,reconstructed\shortest_path_tloz6_1.csv,reconstructed\overlay_shortest_path_tloz6_1.png
tloz6_2,0,0,1,2,1,2,0,0,10,reconstructed\shortest_path_tloz6_2.csv,reconstructed\overlay_shortest_path_tloz6_2.png
tloz7_1,0,0,3,3,7,7,0,0,5,reconstructed\shortest_path_tloz7_1.csv,reconstructed\overlay_shortest_path_tloz7_1.png
tloz7_2,0,0,1,2,0,2,0,0,6,reconstructed\shortest_path_tloz7_2.csv,reconstructed\overlay_shortest_path_tloz7_2.png
tloz8_1,0,0,4,6,3,3,0,0,8,reconstructed\shortest_path_tloz8_1.csv,reconstructed\overlay_shortest_path_tloz8_1.png
tloz8_2,0,0,0,0,0,0,0,0,0,,
tloz9_1,0,0,1,4,0,5,0,0,12,reconstructed\shortest_path_tloz9_1.csv,reconstructed\overlay_shortest_path_tloz9_1.png
tloz9_2,0,0,0,1,2,2,0,0,32,reconstructed\shortest_path_tloz9_2.csv,reconstructed\overlay_shortest_path_tloz9_2.png
