row,col,y_px,x_px
87,23,1400.0,376.0
86,23,1384.0,376.0
85,23,1368.0,376.0
84,23,1352.0,376.0
83,23,1336.0,376.0
83,22,1336.0,360.0
83,21,1336.0,344.0
83,20,1336.0,328.0
83,19,1336.0,312.0
83,18,1336.0,296.0
82,18,1320.0,296.0
82,17,1320.0,280.0
82,16,1320.0,264.0
82,15,1320.0,248.0
82,14,1320.0,232.0
82,13,1320.0,216.0
82,12,1320.0,200.0
82,11,1320.0,184.0
82,10,1320.0,168.0
82,9,1320.0,152.0
82,10,1320.0,168.0
82,11,1320.0,184.0
82,12,1320.0,200.0
82,13,1320.0,216.0
82,14,1320.0,232.0
82,15,1320.0,248.0
82,16,1320.0,264.0
82,17,1320.0,280.0
82,18,1320.0,296.0
81,18,1304.0,296.0
80,18,1288.0,296.0
79,18,1272.0,296.0
79,19,1272.0,312.0
79,20,1272.0,328.0
79,21,1272.0,344.0
79,22,1272.0,360.0
79,23,1272.0,376.0
78,23,1256.0,376.0
77,23,1240.0,376.0
76,23,1224.0,376.0
75,23,1208.0,376.0
74,23,1192.0,376.0
73,23,1176.0,376.0
72,23,1160.0,376.0
71,23,1144.0,376.0
70,23,1128.0,376.0
69,23,1112.0,376.0
68,23,1096.0,376.0
67,23,1080.0,376.0
66,23,1064.0,376.0
65,23,1048.0,376.0
64,23,1032.0,376.0
63,23,1016.0,376.0
62,23,1000.0,376.0
61,23,984.0,376.0
60,23,968.0,376.0
60,24,968.0,392.0
60,25,968.0,408.0
60,24,968.0,392.0
60,23,968.0,376.0
60,22,968.0,360.0
60,21,968.0,344.0
60,20,968.0,328.0
60,19,968.0,312.0
60,18,968.0,296.0
60,17,968.0,280.0
60,16,968.0,264.0
60,15,968.0,248.0
60,14,968.0,232.0
60,13,968.0,216.0
61,13,984.0,216.0
61,12,984.0,200.0
61,11,984.0,184.0
62,11,1000.0,184.0
62,10,1000.0,168.0
63,10,1016.0,168.0
63,9,1016.0,152.0
63,8,1016.0,136.0
63,7,1016.0,120.0
62,7,1000.0,120.0
61,7,984.0,120.0
60,7,968.0,120.0
59,7,952.0,120.0
59,8,952.0,136.0
58,8,936.0,136.0
57,8,920.0,136.0
56,8,904.0,136.0
55,8,888.0,136.0
54,8,872.0,136.0
53,8,856.0,136.0
52,8,840.0,136.0
51,8,824.0,136.0
50,8,808.0,136.0
49,8,792.0,136.0
48,8,776.0,136.0
47,8,760.0,136.0
46,8,744.0,136.0
45,8,728.0,136.0
44,8,712.0,136.0
43,8,696.0,136.0
42,8,680.0,136.0
41,8,664.0,136.0
40,8,648.0,136.0
39,8,632.0,136.0
38,8,616.0,136.0
37,8,600.0,136.0
36,8,584.0,136.0
35,8,568.0,136.0
34,8,552.0,136.0
33,8,536.0,136.0
32,8,520.0,136.0
31,8,504.0,136.0
30,8,488.0,136.0
29,8,472.0,136.0
28,8,456.0,136.0
27,8,440.0,136.0
26,8,424.0,136.0
25,8,408.0,136.0
24,8,392.0,136.0
23,8,376.0,136.0
22,8,360.0,136.0
21,8,344.0,136.0
20,8,328.0,136.0
19,8,312.0,136.0
18,8,296.0,136.0
17,8,280.0,136.0
16,8,264.0,136.0
15,8,248.0,136.0
14,8,232.0,136.0
13,8,216.0,136.0
12,8,200.0,136.0
11,8,184.0,136.0
10,8,168.0,136.0
9,8,152.0,136.0
8,8,136.0,136.0
7,8,120.0,136.0
6,8,104.0,136.0
5,8,88.0,136.0
5,9,88.0,152.0
5,10,88.0,168.0
5,11,88.0,184.0
5,12,88.0,200.0
5,13,88.0,216.0
5,14,88.0,232.0
5,15,88.0,248.0
5,16,88.0,264.0
5,17,88.0,280.0
5,18,88.0,296.0
5,19,88.0,312.0
5,20,88.0,328.0
5,21,88.0,344.0
5,22,88.0,360.0
4,22,72.0,360.0
4,23,72.0,376.0
4,24,72.0,392.0
5,24,88.0,392.0
5,25,88.0,408.0
5,26,88.0,424.0
5,27,88.0,440.0
5,28,88.0,456.0
5,29,88.0,472.0
5,30,88.0,488.0
5,31,88.0,504.0
5,32,88.0,520.0
5,33,88.0,536.0
5,34,88.0,552.0
6,34,104.0,552.0
7,34,120.0,552.0
8,34,136.0,552.0
8,35,136.0,568.0
8,36,136.0,584.0
8,37,136.0,600.0
8,38,136.0,616.0
8,39,136.0,632.0
9,39,152.0,632.0
10,39,168.0,632.0
11,39,184.0,632.0
12,39,200.0,632.0
13,39,216.0,632.0
14,39,232.0,632.0
15,39,248.0,632.0
15,40,248.0,648.0
15,41,248.0,664.0
15,42,248.0,680.0
16,42,264.0,680.0
16,43,264.0,696.0
16,44,264.0,712.0
16,45,264.0,728.0
16,46,264.0,744.0
16,47,264.0,760.0
16,48,264.0,776.0
16,49,264.0,792.0
16,50,264.0,808.0
16,51,264.0,824.0
16,52,264.0,840.0
15,52,248.0,840.0
15,53,248.0,856.0
15,54,248.0,872.0
14,54,232.0,872.0
14,55,232.0,888.0
13,55,216.0,888.0
12,55,200.0,888.0
11,55,184.0,888.0
10,55,168.0,888.0
9,55,152.0,888.0
8,55,136.0,888.0
7,55,120.0,888.0
6,55,104.0,888.0
5,55,88.0,888.0
